Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2008,220.587,221.5705,222.554,223.5395,224.525,226.7215,228.918,228.8945,228.871,226.22,223.569,222.6995
2009,221.830,222.23,222.630,223.1065,223.583,224.8335,226.084,226.6325,227.181,226.857,226.533,226.9865
2010,227.440,227.96,228.480,228.554,228.628,228.53,228.432,229.522,230.612,230.5715,230.531,231.6505
2011,232.770,233.976,235.182,236.265,237.348,237.7695,238.191,238.458,238.725,238.45,238.175,238.5845
2012,238.994,240.6145,242.235,242.3405,242.446,242.095,241.744,243.232,244.720,243.9595,243.199,243.336
2013,243.473,244.475,245.477,245.488,245.499,245.8385,246.178,247.008,247.838,247.551,247.264,247.4715
2014,247.679,248.635,249.591,250.017,250.443,250.3845,250.326,250.48,250.634,250.303,249.972,248.5495
2015,247.127,248.556,249.985,250.905,251.825,251.4085,250.992,251.684,252.376,251.8515,251.327,251.067
2016,250.807,251.7625,252.718,253.784,254.850,254.5775,254.305,253.909,253.513,253.751,253.989,254.242
2017,254.495,254.965,255.435,255.4685,255.502,255.51,255.518,256.667,257.816,257.844,257.872,259.0455
2018,260.219,260.1225,260.026,260.898,261.770,261.893,262.016,262.536,263.056,263.056,,
